Study_ID,Citation,SAR_TYPE,Study_location,Biogeo_realm,Number of islands/patches in study,Area,Richness
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,8.56,23
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,30.13,38
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,39.21,47
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,46.16,58
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,60.53,59
10,"Schoerder et al, 2004",Mainland,"Vicosam, Brazil",Neotropic,17,93.37,77
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,259000000,19
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,259000000,36
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,177000000,37
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,87000000,47
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,699000000,53
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,3132000000,67
11,Wetterer,Insular,Kingdom of Tonga,Oceania,7,18272000000,88
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,1270000000,12
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,144000000,15
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,728000000,27
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,2125000000,36
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,3900000000,48
12,Trainor & Andersen 2010,Insular,Timor,Indomalaya,5,30777000000,111
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,2000000,1
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,5000000,1
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,49309000,2
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,184000000,2
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,208000000,2
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,173000000,2
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,509000000,3
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,700106,4
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,1500000000,4
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,5620000,4
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,183000,7
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,629900000,7
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,368264,8
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,15700000,8
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,2970700000,11
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,31000000,12
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,411000000,16
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,687800000,17
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,2036000000,18
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,30200000,18
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,2080000,21
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,219000000,28
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,6370000,29
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,16094186,32
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,506000000,32
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,43980000,38
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,660100000,66
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,2999000000,68
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,4307000000,71
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,5301700000,107
13,Sarnat et al 2013,Insular,Solomon,Australasia,31,1230000000,142
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,62000,1
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,68000,2
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,520000,4
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,120000,4
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,91000,4
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,55000,4
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,1550000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,56000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,15000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,120000,5
